Mã chi nhánh,Mã sku phần mềm Bravo,Số lượng tồn kho,Đơn vị nhỏ nhất,Mã hàng không đuôi
008,12.L1.2550.2504.3,1000,VIEN,12.L1.2550.2504
008,12.L1.2550.2501.4,1000,VIEN,12.L1.2550.2501
008,12.L1.2550.2502.5,1000,VIEN,12.L1.2550.2502
008,12.L1.2550.2505.1,1000,VIEN,12.L1.2550.2505
008,14.L1.3060.36822,1000,VIEN,14.L1.3060.36822
008,14.L1.3060.36822D,1000,VIEN,14.L1.3060.36822D
008,14.L1.3060.36922,1000,VIEN,14.L1.3060.36922
008,12.L1.3030.3002.9,1000,VIEN,12.L1.3030.3002
008,12.L1.2550.2501.3,1000,VIEN,12.L1.2550.2501
008,14.L2.3060.36822D,1000,VIEN,14.L2.3060.36822D
008,14.L1.6060.66181004.2,1000,VIEN,14.L1.6060.66181004
008,14.L1.3060.36822D.1,1000,VIEN,14.L1.3060.36822D
008,14.L1.3060.36922.1,1000,VIEN,14.L1.3060.36922
008,14.L1.3060.36822.1,1000,VIEN,14.L1.3060.36822
008,12.L1.2040.2403.2,1000,VIEN,12.L1.2040.2403
008,12.L1.2040.2404.2,1000,VIEN,12.L1.2040.2404
008,12.L1.2040.2401.2,1000,VIEN,12.L1.2040.2401
008,12.L1.2040.2402.2,1000,VIEN,12.L1.2040.2402
008,12.L1.2550.2501.5,1000,VIEN,12.L1.2550.2501
008,14.L1.3060.A36822,1000,VIEN,14.L1.3060.A36822
008,14.L1.3060.A36822D,1000,VIEN,14.L1.3060.A36822D
008,14.L1.3060.A36922,1000,VIEN,14.L1.3060.A36922
008,14.L2.3060.A36822D,1000,VIEN,14.L2.3060.A36822D
008,14.L1.3060.A36822.2,1000,VIEN,14.L1.3060.A36822
008,14.L1.3060.A36922.2,1000,VIEN,14.L1.3060.A36922
008,14.L1.3060.A36822D.2,1000,VIEN,14.L1.3060.A36822D
008,14.L2.2012.332205,1000,,14.L2.2012.332205
008,12.L1.2040.2402.3,1000,VIEN,12.L1.2040.2402
008,12.L1.2040.2403.3,1000,VIEN,12.L1.2040.2403
008,14.L1.6060.66181004.3,1000,VIEN,14.L1.6060.66181004
008,14.L1.3060.36320,1000,VIEN,14.L1.3060.36320
008,14.L1.3060.36420,1000,VIEN,14.L1.3060.36420
008,14.L1.3060.A36320,1000,VIEN,14.L1.3060.A36320
008,14.L1.3060.A36420,1000,VIEN,14.L1.3060.A36420
008,14.L1.8080.88284041,1000,VIEN,14.L1.8080.88284041
008,14.L1.3030.33316,1000,VIEN,14.L1.3030.33316
008,14.L1.3030.33318,1000,VIEN,14.L1.3030.33318
008,14.L1.3030.33320,1000,VIEN,14.L1.3030.33320
008,14.L1.3030.33408,1000,VIEN,14.L1.3030.33408
008,14.L1.3030.33411,1000,VIEN,14.L1.3030.33411
008,14.L1.3030.33418,1000,VIEN,14.L1.3030.33418
008,14.L1.8080.88284041.1,1000,VIEN,14.L1.8080.88284041
008,12.L1.2550.2501.6,1000,VIEN,12.L1.2550.2501
008,12.L1.2550.2504.4,1000,VIEN,12.L1.2550.2504
008,12.L1.3030.3002.11,1000,VIEN,12.L1.3030.3002
008,14.L1.8080.88181004.3,1000,VIEN,14.L1.8080.88181004
008,12.L1.3030.3002.10,1000,VIEN,12.L1.3030.3002
008,12.L1.2040.2405.3,1000,VIEN,12.L1.2040.2405
008,12.L1.2550.2503.4,1000,VIEN,12.L1.2550.2503
008,12.L1.2040.2405.2,1000,VIEN,12.L1.2040.2405
008,14.L1.3060.A36320D,1000,VIEN,14.L1.3060.A36320D
008,18.C100.DG.BMFIX.00,1000,BAO,18.C100.DG.BMFIX
008,18.C200.DG.BMSET.00,1000,BAO,18.C200.DG.BMSET
008,18.CG10.CR.C0000.00,1000,KG,18.CG10.CR.C0000.00
008,18.CG10.CR.C0000.18,1000,KG,18.CG10.CR.C0000.18
008,12.L1.2550.2502.4,1000,VIEN,12.L1.2550.2502
008,18.CG10.CR.C0000.24,1000,KG,18.CG10.CR.C0000.24
008,12.L1.2550.2505.4,1000,VIEN,12.L1.2550.2505
008,14.L1.6060.66182031.2,1000,VIEN,14.L1.6060.66182031
008,14.L1.20120.332205,1000,VIEN,14.L1.20120.332205
008,14.L1.3030.33411.1,1000,VIEN,14.L1.3030.33411
008,14.L2.20120.332205,1000,VIEN,14.L2.20120.332205
008,12.L1.2550.2505.5,1000,VIEN,12.L1.2550.2505
008,19.C100.DG.CBOND.00,1000,BAO,19.C100.DG.CBOND.00
008,19.C200.DG.CXTRA.00,1000,BAO,19.C200.DG.CXTRA.00
008,19.CG10.CR.CLINK.W0,1000,KG,19.CG10.CR.CLINK.W0
008,19.CG10.CR.CLINK.Y13,1000,KG,19.CG10.CR.CLINK.Y13
008,19.CG10.CR.CLINK.Y23,1000,KG,19.CG10.CR.CLINK.Y23
008,18.C100.DG.UTILE.00,1000,BAO,18.C100.DG.UTILE.00
008,14.L1.3060.A36320.1,1000,VIEN,14.L1.3060.A36320
008,14.L1.3060.A36320D.1,1000,VIEN,14.L1.3060.A36320D
008,14.L1.3060.A36420.1,1000,VIEN,14.L1.3060.A36420
008,14.L2.3060.A36320,1000,VIEN,14.L2.3060.A36320
008,14.L2.3060.A36420,1000,VIEN,14.L2.3060.A36420
008,12.L1.2550.2502.6,1000,VIEN,12.L1.2550.2502
008,12.L1.2040.2401.3,1000,VIEN,12.L1.2040.2401
008,14.L1.3030.33408.1,1000,VIEN,14.L1.3030.33408
008,14.L1.6060.66181004.4,1000,VIEN,14.L1.6060.66181004
008,12.L1.2040.2404.3,1000,VIEN,12.L1.2040.2404
008,14.L2.3060.A36822,1000,VIEN,14.L2.3060.A36822
008,14.L2.3060.A36922,1000,VIEN,14.L2.3060.A36922
008,18.C2TE.DG.BMBON.00,1000,BAO,18.C2TE.DG.BMBON
008,18.CG2A.CR.CUSG0.00,1000,KG,18.CG2A.CR.CUSG0.00
008,18.CG10.CR.C0000.18.,1000,,18.CG10.CR.C0000.18
008,18.CG10.CR.C0000.24.,1000,,18.CG10.CR.C0000.24
008,18.CG10.CR.C0000.00.,1000,,18.CG10.CR.C0000.00
008,18.C100.DG.UTILE.00.,1000,KG,18.C100.DG.UTILE.00.
008,19.C100.DG.CBOND.00.,1000,KG,19.C100.DG.CBOND.00.
008,19.C200.DG.CXTRA.00.,1000,KG,19.C200.DG.CXTRA.00.
008,18.C100.DG.BMFIX.00.,1000,KG,18.C100.DG.BMFIX.00.
008,18.C200.DG.BMSET.00.,1000,KG,18.C200.DG.BMSET.00.
008,18.C2TE.DG.BMBON.00.,1000,KG,18.C2TE.DG.BMBON.00.
008,12.L1.2040.2402.4,1000,VIEN,12.L1.2040.2402
008,12.L1.3030.3002.12,1000,VIEN,12.L1.3030.3002
008,14.L1.8080.88181004.4,1000,VIEN,14.L1.8080.88181004
008,14.L1.3030.33418.1,1000,VIEN,14.L1.3030.33418
008,14.L1.6060.66181004.5,1000,VIEN,14.L1.6060.66181004
008,12.L1.2550.2502.7,1000,VIEN,12.L1.2550.2502
008,12.L1.2040.2403.4,1000,VIEN,12.L1.2040.2403
008,12.L1.2550.2501.7,1000,VIEN,12.L1.2550.2501
008,12.L1.2550.2503.5,1000,VIEN,12.L1.2550.2503
008,12.L1.2550.2504.5,1000,VIEN,12.L1.2550.2504
008,00.KCB.100.NS,1000,KG,00.KCB.100.NS
008,00.KCB.150.NS,1000,KG,00.KCB.150.NS
008,00.KCB.200.NS,1000,KG,00.KCB.200.NS
008,00.NEM.TS,1000,KG,00.NEM.TS
008,00.KIM.01,1000,CAI,00.KIM.01
008,00.KCT.100.NS,1000,KG,00.KCT.100.NS
008,00.KCT.150.NS,1000,KG,00.KCT.150.NS
008,00.KCT.200.NS,1000,KG,00.KCT.200.NS
008,12.L1.2040.2401.4,1000,VIEN,12.L1.2040.2401
008,12.L1.2040.2402.5,1000,VIEN,12.L1.2040.2402
008,12.L1.2040.2403.5,1000,VIEN,12.L1.2040.2403
008,12.L1.2040.2405.4,1000,VIEN,12.L1.2040.2405
008,12.L1.2040.2401.4-,1000,VIEN,12.L1.2040.2401
008,12.L1.2040.2401.4+,1000,VIEN,12.L1.2040.2401
008,12.L1.2040.2404.4,1000,VIEN,12.L1.2040.2404
008,12.L1.3030.3002.13,1000,VIEN,12.L1.3030.3002
008,12.L1.2040.2402.6,1000,VIEN,12.L1.2040.2402
008,12.L1.2040.2403.6,1000,VIEN,12.L1.2040.2403
008,12.L1.2040.2401.5,1000,VIEN,12.L1.2040.2401
008,12.L1.2550.2501.8,1000,VIEN,12.L1.2550.2501
008,12.L1.2550.2505.6,1000,VIEN,12.L1.2550.2505
008,12.L1.2040.2404.5,1000,VIEN,12.L1.2040.2404
008,12.L1.3030.3002.14,1000,VIEN,12.L1.3030.3002
008,12.L1.2040.2405.5,1000,VIEN,12.L1.2040.2405
008,12.L1.2550.2502.8,1000,VIEN,12.L1.2550.2502
008,12.L1.2550.2503.6,1000,VIEN,12.L1.2550.2503
008,12.L1.2550.2504.6,1000,VIEN,12.L1.2550.2504
008,12.L1.2040.2401.7,1000,VIEN,12.L1.2040.2401
008,12.L1.2040.2402.7,1000,VIEN,12.L1.2040.2402
008,14.L1.3030.33316.1,1000,VIEN,14.L1.3030.33316
008,14.L1.60120.244016,1000,VIEN,14.L1.60120.244016
008,14.L1.3030.33411.2,1000,VIEN,14.L1.3030.33411
008,14.L1.3060.A36822.3,1000,VIEN,14.L1.3060.A36822
008,14.L1.3060.A36822D.3,1000,VIEN,14.L1.3060.A36822D
008,14.L1.3060.A36922.3,1000,VIEN,14.L1.3060.A36922
008,12.L1.2550.2502.9,1000,VIEN,12.L1.2550.2502
008,12.L1.2550.2505.7,1000,VIEN,12.L1.2550.2505
008,14.L1.8080.88181004.5,1000,VIEN,14.L1.8080.88181004
008,14.L1.3060.A36320.2,1000,VIEN,14.L1.3060.A36320
008,14.L1.3060.A36320D.2,1000,VIEN,14.L1.3060.A36320D
008,14.L1.3060.A36420.2,1000,VIEN,14.L1.3060.A36420
008,14.L1.3030.33320.1,1000,VIEN,14.L1.3030.33320
008,14.L1.3030.33418.2,1000,VIEN,14.L1.3030.33418
008,14.L1.3060.A36320.3,1000,VIEN,14.L1.3060.A36320
008,20.L1.6060.16114,1000,VIEN,20.L1.6060.16114
008,14.L3.8012.BL81801.1,1000,VIEN,14.L3.8012.BL81801.1
008,20.L1.6060.16114.5,1000,VIEN,20.L1.6060.16114
008,21.C100.DG.MPSET.00,1000,KG,21.C100.DG.MPSET.00
008,21.C1T0.DG.KBOND.00,1000,KG,21.C1T0.DG.KBOND.00
008,22.L1.4040.4206G.M18,1000,,22.L1.4040.4206G
008,14.L1.6060.66436016,1000,VIEN,14.L1.6060.66436016
008,14.L1.8012.BL81807,1000,VIEN,14.L1.8012.BL81807
008,14.L1.6060.66282018,1000,VIEN,14.L1.6060.66282018
008,22.C100.DG.TBOND.00,1000,KG,22.C100.DG.TBOND.00
008,22.C200.DG.TBOND.00,1000,KG,22.C200.DG.TBOND.00
008,14.L1.60120.US6861,1000,VIEN,14.L1.60120.US6861
008,20.L1.3060.C9806.1,1000,,20.L1.3060.C9806
008,14.L1.6060.66282018.1,1000,VIEN,14.L1.6060.66282018
008,14.L1.3060.A36822.4,1000,VIEN,14.L1.3060.A36822
008,14.L1.3060.A36822D.4,1000,VIEN,14.L1.3060.A36822D
008,22.CGIW.CR.JOINT.00,1000,KG,22.CGIW.CR.JOINT.00
008,22.CG2W.CR.JOINT.00,1000,,22.CG2W.CR.JOINT.00
008,00.L1.8080.4108,1000,,00.L1.8080.4108
008,14.L1.3060.A36320.4,1000,VIEN,14.L1.3060.A36320
008,14.L1.3060.A36420.4,1000,VIEN,14.L1.3060.A36420
008,14.L1.3060.A36320D.4,1000,VIEN,14.L1.3060.A36320D
008,14.L1.3060.A36922.4,1000,VIEN,14.L1.3060.A36922
008,20.L1.6060.16115,1000,VIEN,20.L1.6060.16115
008,12.L1.2550.2502.10,1000,VIEN,12.L1.2550.2502
008,12.L1.2550.2504.7,1000,VIEN,12.L1.2550.2504
008,12.L1.2550.2505.8,1000,VIEN,12.L1.2550.2505
008,12.L1.2550.2501.9,1000,VIEN,12.L1.2550.2501
008,12.L1.2550.2503.7,1000,VIEN,12.L1.2550.2503
008,12.L1.3030.3002.15,1000,VIEN,12.L1.3030.3002
008,21.C100.DG.UNISET.00,1000,KG,21.C100.DG.UNISET.00
008,24.L1.4040.4201G,1000,VIEN,24.L1.4040.4201G
008,12.L1.2550.2502.11,1000,VIEN,12.L1.2550.2502
008,12.L1.2040.2402.8,1000,VIEN,12.L1.2040.2402
008,12.L1.2040.2403.8,1000,VIEN,12.L1.2040.2403
008,14.L1.3030.33316.2,1000,VIEN,14.L1.3030.33316
008,14.L1.3060.GM3060,1000,VIEN,14.L1.3060.GM3060
008,14.L1.3060.US3982.1,1000,VIEN,14.L1.3060.US3982
008,20.L1.6060.16004.5,1000,VIEN,20.L1.6060.16004
008,20.L1.6060.16001.5,1000,VIEN,20.L1.6060.16001
008,12.L1.2040.2404.6,1000,VIEN,12.L1.2040.2404
008,12.L1.2040.2405.6,1000,VIEN,12.L1.2040.2405
008,14.L1.3060.A36822.7,1000,VIEN,14.L1.3060.A36822
008,14.L1.8080.88283003.2,1000,VIEN,14.L1.8080.88283003
008,14.L1.8080.88282018.1,1000,VIEN,14.L1.8080.88282018
008,12.L1.3030.3018.1,1000,VIEN,12.L1.3030.3018
008,12.L1.3030.3021.1,1000,VIEN,12.L1.3030.3021
008,12.L1.3030.3021.4,1000,VIEN,12.L1.3030.3021
008,12.L1.3030.3024.1,1000,VIEN,12.L1.3030.3024
008,14.L1.3030.33411.3,1000,VIEN,14.L1.3030.33411
008,12.L1.3030.3019.1,1000,VIEN,12.L1.3030.3019
008,12.L1.3030.3019.4,1000,VIEN,12.L1.3030.3019
008,12.L1.3030.3020.1,1000,VIEN,12.L1.3030.3020
008,12.L1.3030.3022.1,1000,VIEN,12.L1.3030.3022
008,12.L1.3030.3023.1,1000,VIEN,12.L1.3030.3023
008,12.L1.3030.3026.1,1000,VIEN,12.L1.3030.3026
008,12.L1.3030.3018,1000,VIEN,12.L1.3030.3018
008,12.L1.3030.3021,1000,VIEN,12.L1.3030.3021
008,12.L1.3030.3024,1000,VIEN,12.L1.3030.3024
008,12.L1.3030.3022,1000,VIEN,12.L1.3030.3022
008,12.L1.3030.3023,1000,VIEN,12.L1.3030.3023
008,12.L1.3030.3020,1000,VIEN,12.L1.3030.3020
008,12.L1.3030.3026,1000,VIEN,12.L1.3030.3026
008,12.L1.3030.3019,1000,VIEN,12.L1.3030.3019
008,12.L1.3030.3002.16,1000,VIEN,12.L1.3030.3002
008,12.L1.2040.2401.8,1000,VIEN,12.L1.2040.2401
008,20.L1.6060.16114.6,1000,VIEN,20.L1.6060.16114
008,20.L1.6060.16114.4,1000,VIEN,20.L1.6060.16114
008,14.L1.6060.66181004.6,1000,VIEN,14.L1.6060.66181004
008,20.L1.6060.26172.5,1000,VIEN,20.L1.6060.26172
008,20.L1.6060.26006,1000,VIEN,20.L1.6060.26006
008,20.L1.6060.26107,1000,VIEN,20.L1.6060.26107
008,20.L1.6060.26112,1000,VIEN,20.L1.6060.26112
008,20.L1.6060.26172,1000,VIEN,20.L1.6060.26172
008,20.L1.6060.26107.5,1000,VIEN,20.L1.6060.26107
008,20.L1.6060.26112.5,1000,VIEN,20.L1.6060.26112
008,20.L1.6060.26006.5,1000,VIEN,20.L1.6060.26006
008,20.L1.6060.26107.4,1000,VIEN,20.L1.6060.26107
008,20.L1.6060.26006.6,1000,VIEN,20.L1.6060.26006
008,21.P9.DG.ADES.00,1000,,21.P9.DG.ADES.00
008,14.L1.3060.A36320.5,1000,VIEN,14.L1.3060.A36320
008,14.L1.3060.A36320D.5,1000,VIEN,14.L1.3060.A36320D
008,14.L1.3060.A36420.5,1000,VIEN,14.L1.3060.A36420
008,22.C2SP.DG.TBOND.00,1000,,22.C2SP.DG.TBOND.00
008,20.L1.6060.26006.4,1000,VIEN,20.L1.6060.26006
008,12.L1.3030.3026.2,1000,VIEN,12.L1.3030.3026
008,12.L1.3030.3018.2,1000,VIEN,12.L1.3030.3018
008,12.L1.3030.3021.2,1000,VIEN,12.L1.3030.3021
008,21.FF10.CR.KERA.00,1000,,21.FF10.CR.KERA.00
008,12.L1.3030.3019.2,1000,VIEN,12.L1.3030.3019
008,12.L1.3030.3020.2,1000,VIEN,12.L1.3030.3020
008,12.L1.3030.3022.2,1000,VIEN,12.L1.3030.3022
008,12.L1.3030.3024.2,1000,VIEN,12.L1.3030.3024
008,12.L1.3030.3023.2,1000,VIEN,12.L1.3030.3023
008,14.L1.3030.33320.2,1000,VIEN,14.L1.3030.33320
008,14.L1.3060.A36822.5,1000,VIEN,14.L1.3060.A36822
008,14.L1.3060.A36822D.5,1000,VIEN,14.L1.3060.A36822D
008,14.L1.3060.A36922.5,1000,VIEN,14.L1.3060.A36922
008,20.L1.6060.26107.6,1000,VIEN,20.L1.6060.26107
008,14.L1.3030.33408.2,1000,VIEN,14.L1.3030.33408
008,14.L1.3030.33316.3,1000,VIEN,14.L1.3030.33316
008,20.L1.6060.16004.6,1000,VIEN,20.L1.6060.16004
008,20.L1.6060.26112.4,1000,VIEN,20.L1.6060.26112
008,12.L1.2550.2501.10,1000,VIEN,12.L1.2550.2501
008,12.L1.2550.2502.12,1000,VIEN,12.L1.2550.2502
008,12.L1.2550.2503.8,1000,VIEN,12.L1.2550.2503
008,12.L1.2550.2504.8,1000,VIEN,12.L1.2550.2504
008,12.L1.2550.2505.9,1000,VIEN,12.L1.2550.2505
008,12.L1.3030.3018.3,1000,VIEN,12.L1.3030.3018
008,20.L1.6060.16004.4,1000,VIEN,20.L1.6060.16004
008,10.L2.8080.4108,1000,VIEN,10.L2.8080.4108
008,12.L1.3030.3024.3,1000,VIEN,12.L1.3030.3024
008,12.L1.3030.3022.3,1000,VIEN,12.L1.3030.3022
008,12.L1.3030.3026.3,1000,VIEN,12.L1.3030.3026
008,12.L1.3030.3023.3,1000,VIEN,12.L1.3030.3023
008,12.L1.3030.3020.3,1000,VIEN,12.L1.3030.3020
008,12.L1.3030.3021.3,1000,VIEN,12.L1.3030.3021
008,12.L1.3030.3019.3,1000,VIEN,12.L1.3030.3019
008,14.L1.3060.A36922.6,1000,VIEN,14.L1.3060.A36922
008,14.L1.8080.88284041.2,1000,VIEN,14.L1.8080.88284041
008,29.L1.1580.FP15801,1000,VIEN,29.L1.1580.FP15801
008,29.L1.1580.FP15802,1000,VIEN,29.L1.1580.FP15802
008,29.L1.1580.FP15803,1000,VIEN,29.L1.1580.FP15803
008,29.L1.1580.FP15804,1000,VIEN,29.L1.1580.FP15804
008,29.L1.1580.FP15805,1000,VIEN,29.L1.1580.FP15805
008,29.L1.1580.FP15806,1000,VIEN,29.L1.1580.FP15806
008,29.L1.1580.FP15807,1000,VIEN,29.L1.1580.FP15807
008,29.L1.1580.FP15808,1000,VIEN,29.L1.1580.FP15808
008,29.L1.3060.FC3618,1000,VIEN,29.L1.3060.FC3618
008,29.L1.3060.FC3618D,1000,VIEN,29.L1.3060.FC3618D
008,29.L1.3060.FC3619,1000,VIEN,29.L1.3060.FC3619
008,29.L1.3060.FC3604,1000,VIEN,29.L1.3060.FC3604
008,29.L1.3060.FC3604D,1000,VIEN,29.L1.3060.FC3604D
008,29.L1.3060.FC3605,1000,VIEN,29.L1.3060.FC3605
008,29.L1.3060.FC3604.01,1000,VIEN,29.L1.3060.FC3604
008,29.L1.3060.FC3604D.01,1000,VIEN,29.L1.3060.FC3604D
008,29.L1.3060.FC3605.01,1000,VIEN,29.L1.3060.FC3605
008,29.L1.3060.FC3618.02,1000,VIEN,29.L1.3060.FC3618
008,29.L1.3060.FC3618D.02,1000,VIEN,29.L1.3060.FC3618D
008,29.L1.3060.FC3619.03,1000,VIEN,29.L1.3060.FC3619
008,29.L1.3060.FC3618.01,1000,VIEN,29.L1.3060.FC3618
008,29.L1.3060.FC3618D.01,1000,VIEN,29.L1.3060.FC3618D
008,29.L1.3060.FC3619.01,1000,VIEN,29.L1.3060.FC3619
008,29.L1.3060.FC3619.02,1000,VIEN,29.L1.3060.FC3619
008,29.L1.3060.FC3604D.02,1000,VIEN,29.L1.3060.FC3604D
008,29.L1.3060.FC3605.02,1000,VIEN,29.L1.3060.FC3605
008,29.L1.3060.FC3604.02,1000,VIEN,29.L1.3060.FC3604
008,12.L1.2040.2404.7,1000,VIEN,12.L1.2040.2404
008,12.L1.2040.2405.7,1000,VIEN,12.L1.2040.2405
008,14.L1.8080.88181004.6,1000,VIEN,14.L1.8080.88181004
008,14.L1.3030.33411.4,1000,VIEN,14.L1.3030.33411
008,14.L1.3060.A36822.6,1000,VIEN,14.L1.3060.A36822
008,14.L1.3060.A36822D.6,1000,VIEN,14.L1.3060.A36822D
008,14.L1.8080.88181004.7,1000,VIEN,14.L1.8080.88181004
008,14.L1.3030.33320.3,1000,VIEN,14.L1.3030.33320
008,14.L1.6060.66181004.7,1000,VIEN,14.L1.6060.66181004
008,29.L1.1580.FP15801.1,1000,VIEN,29.L1.1580.FP15801
008,29.L1.1580.FP15802.1,1000,VIEN,29.L1.1580.FP15802
008,29.L1.1580.FP15803.1,1000,VIEN,29.L1.1580.FP15803
008,29.L1.1580.FP15804.1,1000,VIEN,29.L1.1580.FP15804
008,29.L1.1580.FP15805.1,1000,VIEN,29.L1.1580.FP15805
008,29.L1.1580.FP15806.1,1000,VIEN,29.L1.1580.FP15806
008,29.L1.1580.FP15807.1,1000,VIEN,29.L1.1580.FP15807
008,29.L1.1580.FP15808.1,1000,VIEN,29.L1.1580.FP15808
008,14.L1.8012.BL81815,1000,VIEN,14.L1.80120.BL81815
008,14.L1.80120.M81LD902,1000,VIEN,14.L1.80120.M81LD902
008,14.L1.80120.M81MW906,1000,VIEN,14.L1.80120.M81MW906
008,14.L1.80120.M81OW903,1000,VIEN,14.L1.80120.M81OW903
008,14.L1.80120.M81AG905,1000,VIEN,14.L1.80120.M81AG905
008,14.L1.80120.M81CB907,1000,VIEN,14.L1.80120.M81CB907
008,14.L1.80120.M81DT904,1000,VIEN,14.L1.80120.M81DT904
008,14.L1.80120.M81LG902,1000,VIEN,14.L1.80120.M81LG902
008,14.L1.60120.61185064,1000,VIEN,14.L1.60120.61185064
008,14.L1.60120.M61LD902,1000,VIEN,14.L1.60120.M61LD902
008,14.L1.60120.61184061,1000,,14.L1.60120.61184061
008,14.L1.60120.61286012,1000,VIEN,14.L1.60120.61286012
008,14.L1.60120.184061,1000,VIEN,14.L1.60120.61184061
008,14.L1.60120.185064,1000,VIEN,14.L1.60120.61185064
008,14.L1.60120.286012,1000,VIEN,14.L1.60120.61286012
008,29.L1.1580.FP15808.2,1000,VIEN,29.L1.1580.FP15808
008,29.L1.1580.FP15804.2,1000,VIEN,29.L1.1580.FP15804
008,12.L1.2040.2402.9,1000,VIEN,12.L1.2040.2402
008,12.L1.2550.2501.11,1000,VIEN,12.L1.2550.2501
008,12.L1.2040.2401.9,1000,VIEN,12.L1.2040.2401
008,12.L1.2040.2403.7,1000,VIEN,12.L1.2040.2403
008,12.L1.2550.2502.13,1000,VIEN,12.L1.2550.2502
008,29.L1.1580.FP15803.2,1000,VIEN,29.L1.1580.FP15803
008,20.L1.6060.16001.4,1000,VIEN,20.L1.6060.16001
008,12.L1.2040.2405.8,1000,VIEN,12.L1.2040.2405
008,12.L1.3030.3024.4,1000,VIEN,12.L1.3030.3024
008,12.L1.3030.3018.4,1000,VIEN,12.L1.3030.3018
008,12.L1.3030.3023.4,1000,VIEN,12.L1.3030.3023
008,12.L1.3030.3026.4,1000,VIEN,12.L1.3030.3026
008,29.L1.1580.FP15802.2,1000,VIEN,29.L1.1580.FP15802
008,29.L1.1580.FP15806.2,1000,VIEN,29.L1.1580.FP15806
008,29.L1.1580.FP15807.2,1000,VIEN,29.L1.1580.FP15807
008,12.L1.2040.2404.8,1000,VIEN,12.L1.2040.2404
008,12.L1.2550.2504.9,1000,VIEN,12.L1.2550.2504
008,29.L1.1580.FP15805.2,1000,VIEN,29.L1.1580.FP15805
008,29.L1.1580.FP15801.2,1000,VIEN,29.L1.1580.FP15801
008,14.L1.8080.88285052.1,1000,VIEN,14.L1.8080.88285052
008,14.L1.8080.M88AG905,1000,VIEN,14.L1.8080.M88AG905
008,14.L1.8080.M88DT904,1000,VIEN,14.L1.8080.M88DT904
008,14.L1.8080.M88LD902,1000,VIEN,14.L1.8080.M88LD902
008,14.L1.8080.M88LG902,1000,VIEN,14.L1.8080.M88LG902
008,14.L1.8080.M88MW909,1000,VIEN,14.L1.8080.M88MW909
008,14.L1.8080.M88OW903,1000,VIEN,14.L1.8080.M88OW903
008,14.L1.3030.33418.3,1000,VIEN,14.L1.3030.33418
008,29.L1.3060.FC3605.03,1000,VIEN,29.L1.3060.FC3605
008,14.L1.6060.66282018.3,1000,VIEN,14.L1.6060.66282018
008,29.L1.1580.FP15808.3,1000,VIEN,29.L1.1580.FP15808
008,20.L1.6060.26172.4,1000,VIEN,20.L1.6060.26172
008,29.L1.1580.FP15803.3,1000,VIEN,29.L1.1580.FP15803
008,20.L1.6060.16405.5,1000,VIEN,20.L1.6060.16405
008,20.L1.6060.86301.5,1000,VIEN,20.L1.6060.86301
008,14.L1.3030.33316.4,1000,VIEN,14.L1.3030.33316
008,20.L1.100100.51107.5,1000,VIEN,20.L1.100100.51107
008,14.L1.6060.66181004.8,1000,VIEN,14.L1.6060.66181004
