fsku,actual_t10,actual_t11,actual_t12,actual_t1,final_fc_t12,ma3_fc_t12,acc_final_t12,acc_ma3_t12,final_fc_t1,ma3_fc_t1,acc_final_t1,acc_ma3_t1,final_fc_t2,final_fc_t3
05.L1.6060.IP6006,453.0,278.0,24,37,300,738.0,0.0%,0.0%,37,252.0,100.0%,0.0%,17,76
05.L1.6060.IP6007,712.0,1802.0,188,6,1118,843.0,0.0%,0.0%,6,901.0,100.0%,0.0%,53,116
05.L1.6060.USG66001,4572.0,4626.0,7444,4646,4741,4827.0,63.7%,64.8%,6024,5547.0,70.3%,80.6%,6170,6381
05.L1.6060.USG66002,1812.0,3185.0,2405,662,2548,2352.0,94.1%,97.8%,2520,2467.0,0.0%,0.0%,2618,2546
05.L1.6060.USG66003,675.0,2067.0,1692,3535,1750,1771.0,96.6%,95.3%,1601,1478.0,45.3%,41.8%,1722,1680
05.L1.6060.USG66004,2866.0,2995.0,4441,3657,2808,2705.0,63.2%,60.9%,3692,3434.0,99.0%,93.9%,3777,3884
05.L1.6060.USG66005,1373.0,594.0,2656,3633,1352,1727.0,50.9%,65.0%,1781,1541.0,49.0%,42.4%,1806,1968
05.L1.6060.USG66006,2286.0,1953.0,3398,3662,2031,2027.0,59.8%,59.7%,2742,2546.0,74.9%,69.5%,2781,2893
05.L1.6060.USG66007,1590.0,1369.0,6615,3873,2912,1916.0,44.0%,29.0%,1258,3191.0,32.5%,82.4%,814,1775
05.L1.6060.USG66008,5780.0,3958.0,4021,793,4055,3816.0,99.2%,94.9%,793,4586.0,100.0%,0.0%,515,2010
05.L1.8080.688001,938.0,1482.0,45,182,900,964.0,0.0%,0.0%,655,822.0,0.0%,0.0%,637,524
05.L1.8080.688002,189.0,554.0,852,214,380,324.0,44.6%,38.0%,630,532.0,0.0%,0.0%,681,700
05.L1.8080.688003,1547.0,2083.0,1899,913,1792,1688.0,94.4%,88.9%,1884,1843.0,0.0%,0.0%,1928,1909
05.L1.8080.688004,578.0,234.0,362,836,343,358.0,94.8%,98.9%,367,391.0,43.9%,46.8%,339,352
05.L1.8080.688005,638.0,886.0,270,1163,894,778.0,0.0%,0.0%,528,598.0,45.4%,51.4%,522,473
05.L1.8080.688006,44.0,335.0,725,361,241,226.0,33.2%,31.2%,472,368.0,69.3%,98.1%,520,547
05.L1.8080.688007,1131.0,182.0,1300,716,627,766.0,48.2%,58.9%,931,871.0,70.0%,78.4%,892,985
05.L1.8080.IP8001,1080.0,2754.0,196,6,2500,2367.0,0.0%,0.0%,6,1343.0,100.0%,0.0%,56,252
05.L1.8080.IP8002,388.0,0.0,0,,311,453.0,,,0,129.0,,,0,0
05.L1.8080.IP8003,0.0,0.0,200,521,0,0.0,0.0%,0.0%,521,67.0,100.0%,12.8%,373,400
05.L1.8080.IP8004,0.0,12.0,435,65,52,80.0,12.0%,18.5%,221,149.0,0.0%,0.0%,243,275
05.L1.8080.IP8005,22.0,0.0,44,57,218,190.0,0.0%,0.0%,26,22.0,45.6%,38.6%,26,30
05.L1.8080.IP8006,24.0,16.0,0,22,84,128.0,,,10,13.0,45.5%,60.6%,8,7
05.L1.8080.IP8007,0.0,0.0,556,,0,558.0,0.0%,99.6%,0,185.0,,,56,195
05.L1.8080.IP8008,5.0,0.0,0,55,189,2.0,,,0,2.0,0.0%,3.0%,0,0
05.L1.8080.USG88001,1234.0,1695.0,2252,1944,1400,1281.0,62.2%,56.9%,1881,1727.0,96.8%,88.8%,1955,1992
05.L1.8080.USG88002,1652.0,997.0,2074,961,1316,1420.0,63.5%,68.5%,1666,1574.0,26.6%,36.2%,1655,1742
05.L1.8080.USG88003,892.0,808.0,424,1541,865,890.0,0.0%,0.0%,633,708.0,41.1%,45.9%,605,577
05.L1.8080.USG88004,759.0,716.0,1332,3288,776,809.0,58.3%,60.7%,1033,936.0,31.4%,28.5%,1059,1106
05.L1.8080.USG88005,1065.0,790.0,593,1046,788,741.0,67.1%,75.1%,746,816.0,71.3%,78.0%,709,697
05.L1.8080.USG88006,1481.0,1745.0,1748,1125,1431,1266.0,81.9%,72.4%,1694,1658.0,49.4%,52.6%,1720,1718
05.L1.8080.USG88007,1471.0,1506.0,3412,841,1506,1513.0,44.1%,44.3%,2452,2130.0,0.0%,0.0%,2551,2694
05.L1.8080.USG88008,1504.0,1423.0,4392,4353,1543,1610.0,35.1%,36.7%,2924,2440.0,67.2%,56.0%,3064,3288
09.L1.1590.CA09GK15901,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
09.L1.1590.CA09GK15902,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
09.L1.1590.CA09GK15903,112.0,0.0,0,,72,48.0,,,0,37.0,,,0,0
09.L1.1590.CA09GK15904,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
09.L1.1590.CA09GK15905,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
09.L1.1590.CA10GK15901,0.0,0.0,1036,81,0,12.0,0.0%,1.2%,81,345.0,100.0%,0.0%,359,344
09.L1.1590.CA10GK15903,0.0,0.0,0,,0,13.0,,,0,0.0,,,0,0
09.L1.1590.CA10GK15904,0.0,0.0,0,,0,225.0,,,0,0.0,,,0,0
09.L1.1590.CA10GK15905,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
09.L1.3060.CA7GM3602,0.0,0.0,30,,0,0.0,0.0%,0.0%,15,10.0,,,16,18
09.L1.3060.CA7GM3603,15.0,17.0,0,,32,11.0,,,8,11.0,,,7,6
09.L1.3060.CA8GM3603,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
09.L1.3060.CAGM36D1,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
09.L1.3060.CAGM36D4,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
09.L1.6060.CA01GM6601,376.0,585.0,0,32,178,320.0,,,251,320.0,0.0%,0.0%,242,196
09.L1.6060.CA01GM6602,21.0,0.0,0,,116,7.0,,,0,7.0,,,0,0
09.L1.6060.CA03GM6601,191.0,0.0,134,,162,64.0,79.1%,48.0%,0,108.0,,,13,47
09.L1.6060.CA03GM6602,144.0,0.0,2,,41,48.0,0.0%,0.0%,30,49.0,,,16,17
09.L1.6060.CA05GM6601,152.0,13.0,0,,57,74.0,,,34,55.0,,,20,20
09.L1.6060.CA08GM6602,0.0,13.0,0,,10,4.0,,,4,4.0,,,5,4
10.L1.3060.4547,696.0,5238.0,2297,522,2832,1984.0,76.7%,86.4%,522,2744.0,100.0%,0.0%,339,1566
10.L1.3060.4548,0.0,237.0,241,,276,79.0,85.5%,32.8%,0,159.0,,,24,84
10.L1.3060.4549,156.0,648.0,884,,405,269.0,45.8%,30.4%,0,563.0,,,61,202
10.L1.3060.4551,5239.0,7358.0,846,,5571,4732.0,0.0%,0.0%,0,4481.0,,,0,127
10.L1.3060.4552,16.0,330.0,37,,50,130.0,64.9%,0.0%,0,128.0,,,7,25
10.L1.3060.4553,482.0,839.0,744,,494,657.0,66.4%,88.4%,0,688.0,,,74,247
10.L1.3060.4554,30.0,5824.0,996,,3046,2159.0,0.0%,0.0%,0,2283.0,,,0,0
10.L1.3060.4555,23.0,673.0,362,,23,232.0,6.4%,64.1%,0,353.0,,,36,127
10.L1.3060.4556,18.0,399.0,37,8,216,158.0,0.0%,0.0%,142,151.0,0.0%,0.0%,162,131
10.L1.3060.4557,120.0,2840.0,326,,1811,1579.0,0.0%,0.0%,0,1095.0,,,0,49
10.L1.3060.4558,125.0,118.0,35,,122,81.0,0.0%,0.0%,78,93.0,,,73,67
10.L1.3060.4559,330.0,226.0,32,,226,240.0,0.0%,0.0%,0,196.0,,,3,11
10.L1.3060.4561,0.0,5011.0,3632,135,2614,1851.0,72.0%,51.0%,135,2881.0,100.0%,0.0%,88,135
10.L1.3060.4562,0.0,193.0,646,,158,78.0,24.5%,12.0%,0,280.0,,,65,226
10.L1.3060.4563,122.0,743.0,271,,250,354.0,92.3%,69.5%,0,379.0,,,0,0
10.L1.3060.4564,1572.0,8550.0,461,,1572,3975.0,0.0%,0.0%,0,3528.0,,,0,69
10.L1.3060.4565,308.0,1228.0,0,,327,627.0,,,0,512.0,,,0,0
10.L1.3060.4566,42.0,1399.0,0,,123,592.0,,,0,480.0,,,0,0
10.L1.3060.4567,2.0,5306.0,295,162,722,2080.0,0.0%,0.0%,162,1868.0,100.0%,0.0%,126,571
10.L1.3060.4568,2.0,869.0,0,15,60,302.0,,,261,290.0,0.0%,0.0%,304,230
10.L1.3060.4569,0.0,103.0,0,,72,34.0,,,31,34.0,,,36,27
10.L1.3060.4571,0.0,292.0,1362,,159,119.0,11.7%,8.7%,0,551.0,,,136,477
10.L1.3060.4572,0.0,15.0,392,11,30,5.0,7.7%,1.3%,200,136.0,0.0%,0.0%,221,249
10.L1.3060.4573,240.0,1559.0,324,39,720,706.0,0.0%,0.0%,39,708.0,100.0%,0.0%,25,39
10.L1.3060.4604,0.0,64.0,83,,32,21.0,38.6%,25.7%,61,49.0,,,68,69
10.L1.3060.4605,0.0,242.0,59,,141,81.0,0.0%,63.3%,0,100.0,,,6,21
10.L1.3060.4606,0.0,3621.0,110,48,104,1208.0,94.5%,0.0%,48,1244.0,100.0%,0.0%,43,198
10.L1.3060.4607,256.0,2030.0,1724,,1092,762.0,63.3%,44.2%,0,1337.0,,,0,0
10.L1.3060.4608,0.0,5.0,0,4,0,2.0,,,4,2.0,100.0%,41.7%,5,3
10.L1.3060.4609,0.0,3841.0,493,14,1920,1280.0,0.0%,0.0%,14,1445.0,100.0%,0.0%,9,14
10.L1.3060.4611,24.0,986.0,286,,350,337.0,77.6%,82.3%,0,432.0,,,29,100
10.L1.3060.4612,0.0,305.0,335,,34,105.0,10.1%,31.3%,0,213.0,,,34,117
10.L1.3060.4613,14.0,854.0,1252,,300,315.0,24.0%,25.1%,0,707.0,,,13,43
10.L1.3060.4614,556.0,10.0,3531,3,180,189.0,5.1%,5.3%,1880,1366.0,0.0%,0.0%,2001,2271
10.L1.3060.4615,136.0,10.0,158,16,13,49.0,8.2%,30.8%,109,101.0,0.0%,0.0%,104,116
10.L1.3060.4616,365.0,20.0,2476,38,130,128.0,5.3%,5.2%,1317,954.0,0.0%,0.0%,1405,1593
10.L1.3060.4617,0.0,1775.0,2798,3771,550,592.0,19.7%,21.1%,3771,1524.0,100.0%,40.4%,3280,3379
10.L1.3060.4618,0.0,113.0,28,183,73,38.0,0.0%,65.5%,183,47.0,100.0%,25.7%,119,201
10.L1.3060.4619,0.0,762.0,146,365,200,254.0,63.0%,26.0%,302,303.0,82.7%,82.9%,347,293
10.L1.3060.4621,0.0,6341.0,1417,,1500,2369.0,94.1%,32.8%,0,2586.0,,,0,0
10.L1.3060.4622,0.0,428.0,70,,346,143.0,0.0%,0.0%,0,166.0,,,7,24
10.L1.3060.4623,0.0,82.0,37,43,32,27.0,86.5%,73.9%,43,40.0,100.0%,92.2%,49,45
10.L1.3060.4624,528.0,1774.0,9,6,600,767.0,0.0%,0.0%,642,770.0,0.0%,0.0%,678,533
10.L1.3060.4625,10.0,507.0,280,,38,172.0,13.6%,61.5%,0,266.0,,,28,98
10.L1.3060.4626,136.0,403.0,0,,122,180.0,,,0,180.0,,,0,0
10.L1.3060.4631,0.0,1076.0,1491,81,500,359.0,33.5%,24.1%,81,856.0,100.0%,0.0%,53,85
10.L1.3060.4632,0.0,285.0,782,,169,139.0,21.6%,17.8%,0,356.0,,,78,274
10.L1.3060.4633,0.0,670.0,488,,450,300.0,92.2%,61.4%,0,386.0,,,0,0
10.L1.3060.5027,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
10.L1.3060.5028,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
10.L1.3060.5029,0.0,664.0,0,,664,221.0,,,0,221.0,,,0,0
10.L1.3060.5067,0.0,0.0,0,,0,1.0,,,0,0.0,,,0,0
10.L1.3060.5068,0.0,0.0,0,189,0,156.0,,,0,0.0,0.0%,0.0%,0,0
10.L1.3060.5069,0.0,0.0,0,,0,15.0,,,0,0.0,,,0,0
10.L1.3060.5761,192.0,0.0,96,,130,64.0,64.6%,66.7%,86,96.0,,,72,81
10.L1.3060.5762,1310.0,448.0,112,392,879,586.0,0.0%,0.0%,452,623.0,84.7%,41.0%,349,332
10.L1.3060.5763,587.0,0.0,156,,176,196.0,87.2%,74.6%,0,248.0,,,16,55
10.L1.3060.5791,27.0,83.0,3124,638,112,37.0,3.6%,1.2%,1592,1078.0,0.0%,31.0%,1750,1977
10.L1.3060.5792,0.0,0.0,145,,0,0.0,0.0%,0.0%,72,48.0,,,80,91
10.L1.3060.5793,0.0,0.0,2246,,0,0.0,0.0%,0.0%,0,749.0,,,225,786
10.L1.3060.68001,174.0,5748.0,256,417,1200,2007.0,0.0%,0.0%,1887,2059.0,0.0%,0.0%,2170,1702
10.L1.3060.68002,0.0,658.0,216,133,58,219.0,26.9%,98.5%,305,291.0,0.0%,0.0%,349,309
10.L1.3060.68003,26.0,357.0,40,100,112,135.0,0.0%,0.0%,132,141.0,68.0%,59.0%,149,122
10.L1.3060.68004,0.0,36.0,133,,18,12.0,13.5%,9.0%,77,56.0,,,86,93
10.L1.3060.68005,0.0,0.0,398,311,0,0.0,0.0%,0.0%,199,133.0,64.0%,42.7%,219,249
10.L1.3060.68006,0.0,12.0,31,360,6,4.0,19.4%,12.9%,360,14.0,100.0%,4.0%,226,247
10.L1.3060.68007,0.0,1635.0,2445,,900,562.0,36.8%,23.0%,0,1360.0,,,0,0
10.L1.3060.68008,0.0,341.0,499,,134,117.0,26.9%,23.5%,0,280.0,,,50,175
10.L1.3060.68009,0.0,91.0,132,,198,30.0,50.0%,23.0%,93,74.0,,,104,106
10.L1.3060.68011,0.0,1328.0,581,104,400,443.0,68.8%,76.2%,104,636.0,100.0%,0.0%,68,139
10.L1.3060.68012,166.0,208.0,200,20,208,167.0,96.0%,83.3%,196,191.0,0.0%,0.0%,200,199
10.L1.3060.68013,94.0,13.0,0,50,30,36.0,,,23,36.0,46.0%,71.3%,14,14
10.L1.3060.68014,0.0,1463.0,928,,732,488.0,78.9%,52.6%,0,797.0,,,93,325
10.L1.3060.68015,0.0,228.0,222,,228,76.0,97.3%,34.2%,0,150.0,,,22,78
10.L1.3060.68016,0.0,367.0,171,,184,122.0,92.4%,71.5%,0,179.0,,,17,60
10.L1.3060.68017,14.0,1367.0,604,25,694,471.0,85.1%,78.0%,715,662.0,0.0%,0.0%,812,741
10.L1.3060.68018,7.0,421.0,155,,20,143.0,12.9%,92.0%,0,194.0,,,16,54
10.L1.3060.68019,106.0,798.0,491,35,450,333.0,91.6%,67.9%,506,465.0,0.0%,0.0%,560,530
10.L1.3060.7801,0.0,0.0,77,80,0,0.0,0.0%,0.0%,38,26.0,47.5%,32.1%,42,48
10.L1.3060.7805,0.0,856.0,0,,514,285.0,,,0,285.0,,,0,0
10.L1.3060.7806,0.0,272.0,4181,176,190,91.0,4.5%,2.2%,176,1484.0,100.0%,0.0%,1387,1303
10.L1.3060.7821,0.0,895.0,241,49,250,298.0,96.3%,76.2%,389,379.0,0.0%,0.0%,446,388
10.L1.3060.7822,0.0,592.0,0,288,342,197.0,,,178,197.0,61.8%,68.5%,207,157
10.L1.3060.7823,0.0,931.0,138,,50,310.0,36.2%,0.0%,0,356.0,,,14,48
10.L1.3060.7831,0.0,56.0,51,,36,24.0,70.6%,47.1%,42,36.0,,,48,47
10.L1.3060.7832,0.0,207.0,315,,190,69.0,60.3%,21.9%,0,174.0,,,32,110
10.L1.3060.7833,0.0,76.0,361,,600,25.0,33.8%,7.0%,0,146.0,,,0,51
10.L1.3060.7837,0.0,879.0,454,,200,293.0,44.1%,64.5%,0,444.0,,,45,159
10.L1.3060.7838,0.0,836.0,482,700,448,279.0,92.9%,57.8%,700,439.0,100.0%,62.8%,648,647
10.L1.3060.7839,0.0,1218.0,3807,,1218,406.0,32.0%,10.7%,0,1675.0,,,0,20
10.L1.4080.9951,0.0,142.0,0,,40,47.0,,,43,47.0,,,50,38
10.L1.4080.9952,0.0,82.0,0,20,49,27.0,,,25,27.0,75.0%,63.3%,29,22
10.L1.4080.9953,7.0,86.0,328,124,86,31.0,26.2%,9.5%,191,140.0,46.0%,86.8%,211,228
10.L1.4080.9954,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
10.L1.4080.9955,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
10.L1.4080.9956,0.0,0.0,28,111,0,0.0,0.0%,0.0%,14,9.0,12.6%,8.4%,15,17
10.L1.4080.9957,111.0,68.0,116,,69,62.0,59.5%,53.7%,0,98.0,,,15,50
10.L1.4080.9958,0.0,0.0,0,5,0,0.0,,,0,0.0,0.0%,0.0%,0,0
10.L1.4080.9959,10.0,0.0,52,67,7,10.0,13.5%,18.6%,28,21.0,41.8%,30.8%,30,34
10.L1.4080.9962,0.0,10.0,0,,12,3.0,,,3,3.0,,,4,3
10.L1.4080.9963,25.0,107.0,3,,52,44.0,0.0%,0.0%,39,45.0,,,42,33
10.L1.4080.9964,0.0,30.0,0,,76,10.0,,,9,10.0,,,10,8
10.L1.4080.9965,0.0,327.0,0,,327,109.0,,,98,109.0,,,114,86
10.L1.4080.9966,0.0,249.0,0,,185,83.0,,,75,83.0,,,87,66
10.L1.4080.9967,0.0,0.0,0,,0,144.0,,,0,0.0,,,0,0
10.L1.4080.9968,0.0,0.0,0,,0,24.0,,,0,0.0,,,0,0
10.L1.4080.9969,0.0,0.0,0,,0,11.0,,,0,0.0,,,0,0
10.L1.5050.5315,0.0,0.0,0,,0,3.0,,,0,0.0,,,0,0
10.L1.5050.5316,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
10.L1.5050.5317,20.0,56.0,0,,206,25.0,,,21,25.0,,,22,17
10.L1.5050.5318,0.0,0.0,102,,0,0.0,0.0%,0.0%,51,34.0,,,56,64
10.L1.5050.5319,0.0,548.0,0,176,518,355.0,,,164,183.0,93.2%,96.2%,192,145
10.L1.5050.5321,0.0,0.0,0,,0,3.0,,,0,0.0,,,0,0
10.L1.5050.A5315,200.0,12.0,46,,66,71.0,56.5%,46.4%,67,86.0,,,50,54
10.L1.5050.A5316,0.0,0.0,0,680,40,156.0,,,0,0.0,0.0%,0.0%,0,0
10.L1.5050.A5317,238.0,669.0,0,862,20,302.0,,,248,302.0,28.8%,35.1%,258,203
10.L1.5050.A5318,28.0,0.0,0,595,190,9.0,,,0,9.0,0.0%,1.6%,0,0
10.L1.5050.A5319,86.0,138.0,0,1497,220,307.0,,,1497,75.0,100.0%,5.0%,973,1647
10.L1.5050.A5321,42.0,12.0,0,,15,18.0,,,12,18.0,,,8,8
10.L1.5050.A5322,0.0,0.0,0,132,0,16.0,,,132,0.0,100.0%,0.0%,77,102
10.L1.6060.5165,371.0,0.0,50,,150,124.0,0.0%,0.0%,99,140.0,,,64,72
10.L1.6060.5167,0.0,0.0,0,,0,12.0,,,0,0.0,,,0,0
10.L1.6060.5168,58.0,67.0,21,,39,42.0,14.3%,1.6%,42,49.0,,,41,37
10.L1.6060.5169,137.0,0.0,0,14,40,46.0,,,0,46.0,0.0%,0.0%,0,0
10.L1.6060.5189,0.0,92.0,0,55,40,35.0,,,28,31.0,50.9%,55.8%,32,24
10.L1.6060.5191,48.0,0.0,63,,15,16.0,23.8%,25.4%,41,37.0,,,39,44
10.L1.6060.5192,212.0,164.0,76,400,413,323.0,0.0%,0.0%,130,151.0,32.5%,37.7%,121,115
10.L1.6060.5193,144.0,0.0,0,59,76,48.0,,,0,48.0,0.0%,81.4%,0,0
10.L1.6060.5194,7.0,354.0,0,,65,120.0,,,0,120.0,,,0,0
10.L1.6060.5195,0.0,87.0,223,,87,49.0,39.0%,22.0%,0,103.0,,,22,78
10.L1.6060.5196,201.0,0.0,6,,101,101.0,0.0%,0.0%,43,69.0,,,23,26
10.L1.6060.5613,0.0,65.0,0,,65,22.0,,,20,22.0,,,23,18
10.L1.6060.5618,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
10.L1.6060.5680,0.0,0.0,36,,0,0.0,0.0%,0.0%,18,12.0,,,20,23
10.L1.6060.5685,0.0,0.0,0,29,0,0.0,,,0,0.0,0.0%,0.0%,0,0
10.L1.6060.5686,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
10.L1.6060.5687,0.0,0.0,68,,0,0.0,0.0%,0.0%,34,23.0,,,37,42
10.L1.6060.5688,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
10.L1.6060.5689,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
10.L1.6060.5690,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
10.L1.6060.5711,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
10.L1.6060.5712,0.0,0.0,8,,0,0.0,0.0%,0.0%,4,3.0,,,4,5
10.L1.6060.5713,8.0,0.0,0,,10,12.0,,,0,3.0,,,0,0
10.L1.6060.5714,113.0,125.0,0,,84,79.0,,,60,79.0,,,55,46
10.L1.6060.5715,594.0,0.0,0,,100,198.0,,,0,198.0,,,0,0
10.L1.6060.5716,4.0,0.0,0,,1,1.0,,,0,1.0,,,0,0
10.L1.6060.5717,80.0,295.0,20,,130,128.0,0.0%,0.0%,0,132.0,,,31,103
10.L1.6060.5718,0.0,0.0,4,309,0,7.0,0.0%,33.3%,2,1.0,0.6%,0.4%,2,2
10.L1.6060.5719,8.0,0.0,12,,8,3.0,66.7%,22.2%,8,7.0,,,8,9
10.L1.6060.5721,0.0,62.0,31,7,25,21.0,80.6%,66.7%,34,31.0,0.0%,0.0%,39,36
10.L1.6060.5722,0.0,24.0,113,18,60,85.0,53.1%,75.5%,64,46.0,0.0%,0.0%,71,77
10.L1.6060.5723,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
10.L1.6060.5724,40.0,452.0,160,12,170,164.0,93.8%,97.5%,224,217.0,0.0%,0.0%,250,224
10.L1.6060.5725,132.0,0.0,244,,240,205.0,98.4%,83.9%,0,125.0,,,0,58
10.L1.6060.5726,7.0,0.0,0,,50,67.0,,,0,2.0,,,0,0
10.L1.6060.6103,0.0,0.0,88,,64,107.0,72.7%,78.0%,44,29.0,,,48,55
10.L1.6060.6157,144.0,672.0,0,380,450,363.0,,,230,272.0,60.5%,71.6%,249,194
10.L1.6060.6158,140.0,0.0,0,17,50,47.0,,,0,47.0,0.0%,0.0%,0,0
10.L1.6060.6159,92.0,21.0,288,,42,44.0,14.6%,15.4%,0,134.0,,,29,101
10.L1.6060.6161,99.0,0.0,0,,30,52.0,,,0,33.0,,,0,0
10.L1.6060.6162,52.0,48.0,0,425,48,47.0,,,425,33.0,100.0%,7.8%,361,655
10.L1.6060.6163,12.0,0.0,0,190,20,96.0,,,0,4.0,0.0%,2.1%,0,0
10.L1.6060.74002,258.0,72.0,270,,129,135.0,47.8%,50.1%,0,200.0,,,53,176
10.L1.6060.74003,75.0,147.0,523,228,130,125.0,24.9%,23.9%,321,248.0,59.2%,91.1%,347,374
10.L1.6060.74005,16.0,0.0,64,,5,5.0,7.8%,8.3%,35,27.0,,,37,42
10.L1.6060.74006,31.0,31.0,0,,25,25.0,,,16,21.0,,,14,12
10.L1.6060.74007,181.0,77.0,554,371,96,91.0,17.3%,16.5%,336,271.0,90.6%,73.0%,350,387
10.L1.6060.74008,313.0,455.0,1136,20,403,392.0,35.5%,34.5%,20,635.0,100.0%,0.0%,13,21
10.L1.6060.75604,72.0,334.0,95,30,170,149.0,21.1%,42.8%,162,167.0,0.0%,0.0%,176,156
10.L1.6060.75605,143.0,0.0,20,,20,48.0,100.0%,0.0%,39,54.0,,,26,29
10.L1.6060.75606,0.0,13.0,96,,10,4.0,10.4%,4.5%,52,36.0,,,57,63
10.L1.8080.5874,0.0,276.0,37,,166,138.0,0.0%,0.0%,0,104.0,,,4,13
10.L1.8080.5876,509.0,159.0,166,46,216,223.0,69.9%,65.5%,232,278.0,0.0%,0.0%,198,202
10.L1.8080.5877,0.0,69.0,108,,38,23.0,35.2%,21.3%,75,59.0,,,84,86
10.L1.8080.5878,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
10.L1.8080.5879,680.0,0.0,156,18,215,245.0,62.2%,43.2%,214,279.0,0.0%,0.0%,154,172
10.L1.8080.5880,0.0,60.0,0,30,60,30.0,,,18,20.0,60.0%,66.7%,21,16
10.L1.8080.5887,0.0,14.0,0,6,50,176.0,,,4,5.0,66.7%,77.8%,5,4
10.L1.8080.5889,12.0,259.0,25,,259,90.0,0.0%,0.0%,93,99.0,,,106,86
10.L1.8080.5891,215.0,0.0,0,258,215,116.0,,,0,72.0,0.0%,27.8%,0,0
10.L1.8080.5893,0.0,0.0,0,,0,28.0,,,0,0.0,,,0,0
10.L1.8080.5894,5.0,0.0,0,,24,2.0,,,0,2.0,,,0,0
10.L1.8080.5895,0.0,0.0,0,419,0,0.0,,,419,0.0,100.0%,0.0%,272,461
10.L1.8080.5896,4.0,5.0,3,128,80,107.0,0.0%,0.0%,4,4.0,3.1%,3.1%,4,4
10.L1.8080.5897,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
10.L1.8080.5898,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
10.L1.8080.5899,0.0,0.0,0,177,0,0.0,,,177,0.0,100.0%,0.0%,59,0
10.L1.8080.75004,0.0,0.0,19,,0,0.0,0.0%,0.0%,10,6.0,,,11,12
10.L1.8080.75005,4.0,93.0,58,37,48,32.0,82.8%,55.7%,58,52.0,43.2%,60.4%,65,62
10.L1.8080.75006,0.0,0.0,202,,0,80.0,0.0%,39.8%,0,67.0,,,20,71
10.L1.8080.9454,9.0,0.0,6,,33,3.0,0.0%,50.0%,5,5.0,,,4,5
10.L1.8080.9455,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.2040.2401,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.2040.2402,0.0,0.0,5,,0,0.0,0.0%,0.0%,2,2.0,,,2,3
12.L1.2040.2403,0.0,0.0,0,36,0,0.0,,,0,0.0,0.0%,0.0%,0,0
12.L1.2040.2404,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.2040.2405,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.2040.U2421,0.0,0.0,528,354,0,0.0,0.0%,0.0%,264,176.0,74.6%,49.7%,290,330
12.L1.2040.U2422,0.0,0.0,12,,0,0.0,0.0%,0.0%,6,4.0,,,7,8
12.L1.2040.U2423,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.2040.U2424,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
12.L1.2040.U2425,0.0,0.0,48,9,0,0.0,0.0%,0.0%,24,16.0,0.0%,22.2%,26,30
12.L1.2040.U2426,0.0,0.0,0,24,0,0.0,,,0,0.0,0.0%,0.0%,0,0
12.L1.2040.U2427,0.0,0.0,135,,0,0.0,0.0%,0.0%,68,45.0,,,74,84
12.L1.2040.U2428,0.0,0.0,0,72,0,0.0,,,0,0.0,0.0%,0.0%,0,0
12.L1.2040.U2429,0.0,0.0,120,248,0,0.0,0.0%,0.0%,60,40.0,24.2%,16.1%,66,75
12.L1.2040.U2430,0.0,0.0,140,75,0,0.0,0.0%,0.0%,70,47.0,93.3%,62.2%,77,88
12.L1.2040.U2431,0.0,0.0,598,,0,0.0,0.0%,0.0%,0,199.0,,,0,0
12.L1.2040.U2432,0.0,0.0,84,137,0,0.0,0.0%,0.0%,42,28.0,30.7%,20.4%,46,52
12.L1.2040.U2433,0.0,0.0,302,48,0,0.0,0.0%,0.0%,151,101.0,0.0%,0.0%,166,189
12.L1.2040.U2434,0.0,0.0,0,1698,0,0.0,,,0,0.0,0.0%,0.0%,0,0
